Disease Name,Symptoms,Diagnosis,Treatments
"Triple-Negative Breast Cancer","A new lump or mass.
Swelling in all or part of a breast.
Dimpled skin.
Breast or nipple pain.
Nipple retraction, when your nipple turns inward.
Nipple or breast skin that’s dry, flaking, thickened or red.
Nipple discharge that’s not breast milk.
Swollen lymph nodes. This symptom happens when breast cancer spreads to the lymph nodes under your arm or near your collarbone.","Magnetic resonance imaging (MRI).
Ultrasound.
Computed tomography (CT) scan.
Positron emission tomography (PET) scan.","Chemotherapy: Providers might combine chemotherapy and surgery to treat early-stage triple-negative breast cancer.
Immunotherapy: Providers may combine immunotherapy and chemotherapy to shrink tumors before surgery. You might also receive immunotherapy for about a year after your surgery and post-surgery radiation therapy.
Surgery: This could be a lumpectomy to remove an individual lump, or a mastectomy to remove an entire breast. Providers then perform a sentinel node biopsy, or axillary node surgery, to look for signs your breast cancer has spread to your lymph nodes.
Targeted therapy: Providers may combine chemotherapy and immunotherapy with treatments that target cancerous cells. For example, providers may use the targeted therapy PARP inhibitors. PARP stands for poly ADP ribose polymerase, an enzyme in cells that repairs DNA damage.
Radiation therapy: Post-surgery radiation therapy helps reduce the chance cancer will recur (come back)."
"Trypanophobia (Fear of Needles)","Hypersensitivity to pain (hyperalgesia).
Fear of being restrained (merinthophobia), which may be triggered when receiving an injection.
Negative or traumatic memories triggered by seeing a needle.
Vasovagal reactions (passing out or situational syncope) at the sight or touch of a needle.","How long you've been afraid of needles.
What symptoms you experience when you see a needle.
How long your symptoms last.
If fearing needles interferes with your ability to get medical care.","Exposure therapy involves slowly introducing the specific fear into your life. A therapist may show you pictures of a needle, have you stand near a needle, or ask you to hold one. Over time, the goal is to change your physical and mental response to seeing a needle.
Cognitive behavioral therapy (CBT), often called talk therapy, involves talking about the fear with a therapist. You learn new coping techniques and different ways to think about needles. CBT helps you have more control over symptoms.
Medication may be helpful if you still feel extreme stress around needles after going through therapy."
"Selenophobia (Fear of the Moon)","Dizziness or fainting (syncope).
Heart racing or heart palpitations.
Nausea or vomiting.
Shortness of breath (dyspnea).
Sweating.
Trembling or shaking uncontrollably.","What symptoms you experience.
If symptoms have lasted six months or longer.
If symptoms interfere with your daily life or relationships.
Whether you go out of your way to avoid seeing the moon.","The goal of selenophobia treatment is to help you live a higher quality of life without disruptions. You might try:"
"Laryngospasm","Asthma. People with asthma may experience laryngospasm after coming in contact with air pollution or breathing vigorously after exercise.
GERD (chronic acid reflux). Gastroesophageal reflux disease (GERD) causes stomach acid or undigested food to come back up into your esophagus (throat). Sometimes, this acid or debris also comes in contact with your larynx and triggers a laryngospasm.
Stress or anxiety disorders. Emotional responses like stress and anxiety can trigger laryngospasm. It’s your body’s physical response to an intense emotion that you’re feeling.
Sleep-related laryngospasm. Some people experience laryngospasm in their sleep and wake up gasping for air. Often, this is related to vocal cord dysfunction or acid reflux.
Anesthesia. In some cases, laryngospasm occurs during general anesthesia. This happens when the anesthesia or extubation (removal of the nose or throat tube) irritates your vocal cords. This type of laryngospasm is more common in certain individuals, including children, people undergoing surgery on their larynx or pharynx and those with chronic obstructive pulmonary disease (COPD).
Laryngeal hypersensitivity (irritable larynx syndrome). If the mucosa of your upper airway is too sensitive, anything that stimulates it may cause a laryngospasm, such as cold air, talking loud, coughing or eating certain foods.","Laryngospasm can happen suddenly and without warning, lasting up to one minute. Symptoms can be mild or severe. For example, you might be able to exhale and cough, but have difficulty breathing in. If you think you’ve experienced laryngospasm, talk to your healthcare provider.","Try not to panic or gasp for air. Remaining calm can help you relax more through the laryngospasm.
Take small sips of water. This will help wash away any irritants that may have come in contact with your vocal cords.
Apply pressure behind your earlobes. The soft spot behind your earlobes and just above your jaw is known as the laryngospasm notch. When you apply forceful pressure down and inward on this pressure point, it can help your vocal cords relax."
"Adenomyosis","Painful menstrual cramps (dysmenorrhea).
Heavy menstrual bleeding (menorrhagia).
Abnormal menstruation.
Pelvic pain with or without severe cramping.
Painful intercourse (dyspareunia).
Infertility.
Enlarged uterus.
Bloating or fullness in your belly (adenomyosis belly).","Pelvic exam: During a pelvic exam, your provider may notice that your uterus has gotten larger, softer or is painful to the touch.
Ultrasound: A transvaginal ultrasound uses sound waves to produce images of your pelvic organs. These images can sometimes show thickening of your uterine wall.
Imaging scans: Magnetic resonance imaging (MRI) scans can show uterine enlargement and thickening of certain areas of your uterus.","Pain medications: Nonsteroidal anti-inflammatory drugs, or NSAIDs, such as ibuprofen (Advil®, Motrin®) or naproxen (Aleve®), ease cramping.
Hormonal medications: Certain hormonal medications can help with menstruation and abnormal bleeding. Options include birth control pills, Depo-Provera® injection and hormonal intrauterine devices (IUD), such as Mirena®.
Nonhormonal medication: Medications like tranexamic acid can reduce the amount of vaginal bleeding.
Adenomyomectomy: Surgery to remove adenomyosis from your uterine muscle. This procedure is similar to a myomectomy, which removes uterine fibroids.
Hysterectomy: This surgery removes your uterus. After a hysterectomy, you won’t have a menstrual cycle or be able to get pregnant."
"Ailurophobia (Fear of Cats)","Another phobia.
Anxiety disorder.
Panic disorder.
Substance use disorder.","Occurs when you think about or see cats.
Leads you to skip situations such as going outside or to a friend’s house.
Results in quick action, such as running away, if you see a cat.
Causes you to miss out on social events.
Affects your ability to enjoy life.
Triggers symptoms of anxiety or fear that don’t match the actual danger.
Lasts at least six months.","Learn breathing and relaxation techniques to use before and during an exposure.
View pictures or videos of cats.
Practice holding a toy cat.
Gradually progress to being near a cat in a carrier.
Finally, touch a cat while having support from a therapist, family or friends."
"Cri du Chat Syndrome","Unusually small head (microcephaly).
Abnormally round face.
Wide nose.
Widely set eyes (hypertelorism).
Crossed eyes (strabismus).
Downward slanting eyelid folds (palpebral fissures).
Extra fold of skin over the inner corner of your child’s eyes (monolid eyes).
Low-set ears.
Abnormally small jaw (micrognathia).
Unusually short distance from your child’s upper lip to their nose (short philtrum).","Karyotype: A karyotype chromosomal analysis maps out your child’s chromosomes and lets you know if something is missing or added.
FISH testing: FISH stands for fluorescence in situ hybridization. FISH testing looks for specific gene changes or parts of genes in your child’s cells.
Chromosome microarray analysis: Microarray analysis is a type of genetic testing that compares your child’s DNA to a control group. It can identify deletions and duplications of whole chromosomes, parts of chromosomes and specific locations of chromosomes.","There’s no cure for cri du chat. But, with prompt diagnosis and early intervention, your child may be capable of reaching their fullest potential and leading a meaningful life."
"Shift Work Sleep Disorder (SWSD)","Insomnia: Insomnia is difficulty falling and/or staying asleep. Insomnia typically affects people with SWSD differently depending on when they work. For example, people with SWSD who work between 4 a.m. and 7 a.m. often have trouble falling asleep, while those who work in the evening tend to have issues staying asleep.
Hypersomnia: Hypersomnia is excessive sleepiness at unwanted times. This often occurs when a person with SWSD is at work during the night or early morning hours. It can be dangerous and impair work performance.","A key part of diagnosing SWSD is keeping a sleep journal. Your healthcare provider will likely ask you to keep detailed notes for at least two weeks on:","Circadian misalignment.
Sleepiness.
Sleep disturbances."
"Pseudomonas Aeruginosa Infection","Chills.
Feeling very tired (fatigue).
Fever.
Joint pain.
Low blood pressure (hypotension).
Muscle pain.","Using a stethoscope to listen to your heart and lungs (auscultation).
Feeling your abdomen.
Examining your skin.
Looking at your eyes.","Aztreonam.
Carbapenems.
Ceftazidime.
Ciprofloxacin.
Gentamicin.
Ticarcillin.
Ureidopenicillins."
"SLAP Tear","Chronic injury. SLAP tears can happen over time in people who play sports or do exercise that requires lots of overhead motion. Playing baseball or softball, swimming or lifting weights are common causes for SLAP tears. Chronic injury is the most common cause of a SLAP tear.
Acute injury. SLAP tears can happen if you try to block a fall with your outstretched arm or you use abrupt jerking movements to lift heavy objects.
Aging. SLAP tears can simply happen as your labrum wears out over time. This tear is usually seen in people age 40 and older.","Physical examination. Your doctor will check your arm and shoulder range of motion and strength.
Magnetic resonance imaging (MRI) or MRI arthrogram.","Rest.
Anti-inflammatory drugs.
Cortisone shots.
Physical therapy.
Debridement.
Arthroscopic labral surgery to repair your labrum.
Bicep tenodesis."
"Pyloric Stenosis (HPS)","Frequent projectile vomiting (forceful vomiting), usually within a half hour to one hour after eating.
Abdominal (belly) pain.
Dehydration.
Hunger after feedings.
Irritability.
Small poops (stools).
Wavelike stomach motion right after eating, just before vomiting starts. Occasionally, you can feel a mass like a sausage in your baby’s stomach.
Weight loss.","Your baby’s healthcare provider will ask you about your baby’s eating habits and perform a physical exam. Sometimes, providers can feel an olive-sized lump in your baby’s belly (abdomen). That’s the thickened pyloric muscle.","Your baby will start drinking formula or breast milk a few hours after surgery. They’ll have small amounts at first. Your baby’s surgeon will discuss their feeding plan with you.
If you use formula, your baby’s team will slowly increase the volume and concentration of the formula as your baby can tolerate it.
If you breastfeed (chestfeed), your baby will have breast milk from a bottle for the first few feedings. It’s important to accurately measure the amount."
"Q Fever","Fever.
Extreme fatigue.
Chills.
Sweats.
Muscle aches.
Sensitivity to light (photophobia).
Severe headaches.
Nausea and vomiting.
Diarrhea.
Cough.
Chest pain.
Stomach pain.
Rash-like spots under your skin (purpura).
Shortness of breath (dyspnea).","Your healthcare provider will diagnose Q fever by asking you about your symptoms and medical history and by taking a blood sample. They may also ask you if you live or work around animals.","Doxycycline.
Hydroxychloroquine.
Trimethoprim-sulfamethoxazole (TMP-SMX).
Rifampin.
Fluoroquinolones (ciprofloxacin, ofloxacin).
Clarithromycin."
"Short Q-T Syndrome (SQTS)","SQTS is genetic. You may inherit it from one of your parents. Or you may have a gene change (mutation) that happens for no known reason.","Electrocardiogram to measure your QT interval.
Genetic testing for the gene mutations that cause SQTS.","Implantable cardioverter defibrillator (ICD). An ICD delivers an electric shock to your heart when it senses an irregular heartbeat. ICDs are one of the most reliable treatments for adults with SQTS.
Medications. Your provider may recommend anti-arrhythmia drugs, such as quinidine. Alternatively, they may prescribe flecainide (Tambocor™) or ibutilide (Corvert®), propafenone, amiodarone, sotalol or beta-blockers such as metoprolol (Toprol XL®, Lopressor®) or carvedilol (Coreg®)."
"Sudden Arrhythmic Death Syndrome","Fainting or having a seizure while exercising, excited or afraid.
Chest pain during exercise.
Shortness of breath while exercising.","A healthcare provider may suspect this condition in a young person who’s having symptoms and has a relative who died of unexplained, sudden death before age 40. Diagnostic methods vary by the type of sudden arrhythmic death syndrome.","Implantable cardioverter defibrillator (ICD).
Quinidine.
Not taking medicine that blocks your heart’s sodium channels."
"Miller-Dieker Syndrome","Breathing problems.
Developmental delays.
Difficulty swallowing (dysphagia).
Feeding problems.
Low muscle tone (hypotonia).
Muscle stiffness or spasticity.
Seizures.
Slow physical growth.","A prenatal ultrasound may detect abnormal brain development or other signs of Miller-Dieker syndrome during pregnancy. Your healthcare provider may perform a genetic amniocentesis to test amniotic fluid for genetic changes that may indicate Miller-Dieker syndrome. Or you may have chorionic villus sampling (CVS) to test cells from your placenta.","Finding support services for your child, such as rehabilitation services, home healthcare and assistive devices.
Joining a support group.
Learning more about your child’s condition and their unique symptoms.
Making time for yourself.
Seeking healthy ways to cope with stress like walking with a friend or taking up a hobby.
Talking to a mental health professional.
Taking medications like antidepressants."
"Bifid Uvula","Nasal-sounding speech.
Feeding difficulties, such as food coming out of their nose.
Air that leaks out of their nose when speaking.","Healthcare providers often diagnose bifid uvula at the time of birth or during a routine pediatrician’s visit. Even if it’s not readily apparent, your provider might suspect bifid uvula or submucosal cleft palate if your baby exhibits other symptoms, like regurgitating their food through their nose.","Most people with bifid uvula lead normal lives with no treatment. However, if a bifid uvula causes speech or feeding difficulties, your healthcare provider may recommend therapy."
"Rocky Mountain Spotted Fever","High fever.
Headache.
Lack of appetite.
Muscle pain or soreness.
Rash, usually starting on wrists and ankles and spreading to other parts of your body.
Nausea and vomiting.
Stomach pain.
Sensitivity to light (photophobia).","Blood tests. Your provider will take a sample of your blood to test for the bacteria that causes RMSF. Your blood usually won’t be positive for RMSF for seven to 10 days into your illness. You may have to repeat blood tests later in your illness or after you recover.
Skin tests. Your provider will use a special cutting tool called a punch (it feels like a poke or a pinch) to get a sample of your skin where you have a rash. They’ll test the sample for signs of R. rickettsii.","Treatment of Rocky Mountain spotted fever involves antibiotics. You usually have to take antibiotics for seven to 10 days."
"Short Q-T Syndrome (SQTS)","SQTS is genetic. You may inherit it from one of your parents. Or you may have a gene change (mutation) that happens for no known reason.","Electrocardiogram to measure your QT interval.
Genetic testing for the gene mutations that cause SQTS.","Implantable cardioverter defibrillator (ICD). An ICD delivers an electric shock to your heart when it senses an irregular heartbeat. ICDs are one of the most reliable treatments for adults with SQTS.
Medications. Your provider may recommend anti-arrhythmia drugs, such as quinidine. Alternatively, they may prescribe flecainide (Tambocor™) or ibutilide (Corvert®), propafenone, amiodarone, sotalol or beta-blockers such as metoprolol (Toprol XL®, Lopressor®) or carvedilol (Coreg®)."
"Fibroadenoma","Round or oval with clear borders.
Smooth.
Firm or rubbery.","Imaging scans, including mammogram and ultrasound.
Image-guided core needle breast biopsy. This test involves removing a sample of the fibroadenoma and sending it to a lab for analysis.","Some fibroadenomas shrink in size or disappear without treatment. If a biopsyconfirms the lump isn’t cancerous, your healthcare provider may recommend follow-up appointments to monitor the lump for any changes (usually in three to six months). This could involve manual breast exams, ultrasound or mammogram."
"Scleroderma","Joint pain.
Stiffness (especially when waking up in the morning).
Fatigue (feeling extremely tired all the time).
Unexplained weight loss.","Blood tests to see how well your immune system is working.
Pulmonary function tests to show if your lungs or respiratory system are affected.
Biopsy to remove a sample of your affected skin or other tissue for testing in a lab.
Endoscopy (looking inside your throat or stomach with a tiny camera attached to a long, thin tube) if you’re experiencing gastrointestinal (GI) symptoms.","Skin treatments: You might need creams and moisturizers to prevent your skin from drying out.
Immunosuppressants: Immunosuppressants stop your immune system from damaging healthy cells and tissues.
Medicines to manage specific symptoms: For example, you might need medication to manage your blood pressure, improve your breathing, manage kidney failure or relieve gastrointestinal symptoms.
Physical therapy: A physical therapist will help you improve how your body physically moves.
Light therapy (phototherapy): Light therapy uses bright, focused UV light to treat skin conditions. It can help treat thickened skin.
Stem cell transplants: Some people with severe symptoms might need a stem cell transplant. A stem cell transplant helps your body replace damaged blood cells with healthy donor cells."
"Wilms Tumor","A swollen spot or hard lump in your child’s abdomen (stomach area). The lump or swelling can be painful, but it’s usually not.
Pain in their abdomen.
Blood in their urine (hematuria).
Fever.
High blood pressure (hypertension). This in turn may cause your child to have nosebleeds, headaches and blood in their eye.","A physical exam that includes pressing down carefully on your child's abdomen.
Imaging tests like abdominal ultrasound, CT scan – usually with contrast. Your provider might order an X-ray or CT scan of your child's chest to find out if cancer has spread (metastasized) to their lungs. Imaging tests can show if your child has a tumor. Your provider can also use the tests to tell the difference between Wilms tumor and other types of kidney cancer.
Laboratory tests of blood and urine, including liver function and blood clotting tests.
A biopsy, which means that tissue from the tumor is removed and sent to the laboratory for testing.","Wilms tumor is almost always treated with a combination of surgery and chemotherapy. Sometimes, treatment will include radiation therapy."
"Protein S Deficiency","A blood clot in the legs or DVT (most common).
Blood clots during pregnancy.
Pulmonary embolism.
It may cause a stroke in a child with the severe form of the disorder.","There’s a strong family history of venous thromboembolism.
You keep getting blood clots.
You had a blood clot before age 50 that doesn’t have a clear cause.
You have a venous thrombosis in an unusual place (brain, intestines or liver).","You’re having surgery.
You’re pregnant.
You have trauma.
You’re not able to move around."
"Typhoid Fever","Headache.
Chills.
Loss of appetite.
Stomach (abdominal) pain.
“Rose spots” rash, or faint pink spots, usually on your chest or stomach.
Cough.
Muscle aches.
Nausea, vomiting.
Diarrhea or constipation.","Blood. Your provider will use a needle to take a small tube of blood from your arm.
Poop (stool). Your healthcare provider will give you a sterile container and instructions on how to collect a sample.
Pee (urine). You may be asked to pee into a cup given to you by your healthcare provider.
Your provider might numb your skin and take a sample with a small razor or scalpel.
Bone marrow. Your provider will numb your skin and use a special needle to get a sample of the inside of your bones. It’s rare that you’d ever need this test for diagnosis.","Ciprofloxacin, levoflaxin or ofloxacin.
Ceftriaxone, cefotaxime or cefixime.
Azithromycin.
Carbapenems."
"Psoriasis on the Eyelids","Skin discoloration.
Scales or flaky skin.
Dry skin.
Itchy skin.
Pain or discomfort.
Vision impairment.
Swollen skin.","A dermatologist.
An ophthalmologist.","Using a warm compress on your affected eyelid.
Washing your eyelids with a gentle soap (like baby shampoo) or cleanser.
Applying topical medications like corticosteroid creams or tacrolimus ointments on your eyelid.
Taking antibiotics if your skin becomes infected.
Using hydrating eye drops to prevent dry eye."
"Serotonin Syndrome","Nervousness.
Nausea, vomiting.
Diarrhea.
Dilated pupils.
Tremor.","Blood and urine tests to measure the levels of drugs you’re taking.
Tests to check how well your body is functioning.
Tests to look for signs of infection, including a spinal tap.
Other tests (including chest X-ray, CT scan), as needed, to rule out other disorders that may cause similar symptoms or to identify any complications.","Mild symptoms: If your symptoms are mild, stopping the medication or changing your dose usually makes symptoms go away within 24 to 72 hours. If your symptoms aren’t going away quickly, you may be given a serotonin blocker, such as cyproheptadine (Periactin®).
Moderate symptoms: If your symptoms are moderate, you may be observed in the hospital for at least 24 hours to make sure your symptoms are improving with treatment.
Severe symptoms: If your symptoms are severe, you’ll be admitted to the intensive care unit (ICU), where your body and organ function can be closely monitored."
"Testicular Torsion","Painful swelling on one side of your scrotum.
A visible lump on a testicle.
One testicle is higher in your scrotum than the other.
Discoloration (red, purple, brown, black) in your scrotum.
Nausea and vomiting.
Abdominal pain.
Peeing more than usual.
Fever.","A healthcare provider can diagnose testicular torsion according to your symptoms, medical history, scrotal ultrasound and a physical examination of your testicles. They may quickly refer you to a urologist (a healthcare provider who specializes in conditions that affect urinary tracts and reproductive systems).","Testicular torsion requires surgery (orchiopexy). During an orchiopexy, a surgeon will untwist your testicle, which restores blood flow to the area. They’ll then secure your testicle to an inner wall in your scrotum with stitches (sutures). This prevents testicular torsions from occurring again."
"T-Cell Lymphoma","Heavy night sweats. This is sweating so intense that it drenches your sheets.
Pain in your belly, bones or chest.
Persistent fatigue. This is feeling much more tired than usual for at least several days and for no apparent reason.
Swollen lymph nodes. You may have painless swelling in your neck, armpits or groin.
Unexplained fever. Often, fevers are signs your body is fighting an infection. A fever that stays above 103 degrees Fahrenheit (39.5 degrees Celsius) for two or more hours after home treatment or lasts longer than two days may be a sign of a serious problem.
Unexplained weight loss. This is losing body weight without trying. Losing 10% of your total body weight over six months is a sign of unexplained weight loss.","Complete blood count (CBC) with differential.
Comprehensive metabolic panel (CMP).
Lactate dehydrogenase (LDH).
Peripheral blood smear.
Tests for certain viruses such as Epstein Barr virus, human immunodeficiency virus (HIV), human T-cell lymphotropic virus type I positive or various types of hepatitis.
Bone marrow aspiration.
Immunophenotyping, tests that help diagnose specific lymphoma types.
Magnetic resonance imaging (MRI).
Positron emission tomography (PET) scan.","Watchful waiting/active surveillance.Some slow-growing forms of T-cell lymphoma don’t cause symptoms. If this is your situation,your provider may hold off on medications or other treatments. This is watchful waiting or active surveillance. Providers carefully monitor your overall health so they’re ready to start treatment as soon as you have symptoms.
Chemotherapy. This is the main treatment for non-Hodgkin lymphomas, including T-cell lymphomas.
Targeted therapy. This may include monoclonal antibody therapy. This treatment uses lab-created antibodies to find and destroy specific cancer cells.
Immunotherapy. This treatment, also called biologic therapy or biotherapy, boosts your body’s immune system. CAR-T cell therapy is an example of immunotherapy, although many healthcare providers also view monoclonal antibodies as a type of immunotherapy, as well.
Radiation therapy. This treatment includes X-rays or other types of radiation.
Chemotherapy with stem cell transplantation. Stem cells are immature blood cells in your blood or bone marrow. In some cases, providers may do autologous stem cell transplantation. Less frequently, they may do allogeneic stem cell transplantation."
"Peripheral T-Cell Lymphoma (PTCL)","Swollen lymph nodes:You may have painless swelling in your neck, armpits or groin.
Unexplained weight loss: This is losing body weight without trying. Losing 10% of your total body weight over six months is a sign of unexplained weight loss.
Belly (abdominal) pain or swelling:This may happen if your spleen becomes enlarged.
Persistent fatigue: This is feeling much more tired than usual for at least several days and for no apparent reason.
Unexplained fever:Often, fevers are signs your body is fighting an infection. A fever that stays above 103 degrees Fahrenheit (39.5 degrees Celsius) for two or more hours after home treatment or lasts longer than two days may be a sign of a serious problem.","Complete blood count (CBC).
Comprehensive metabolic panel (CMP).
Lactate dehydrogenase (LDH) test.
Hepatitis B and Hepatitis C tests.
Human immunodeficiency virus (HIV) test.
Human T-cell lymphotropic virus Type 1 (HTLV-Type 1) tests.","Chemotherapy, combining different types of chemotherapy drugs.
Radiation therapy, which providers may use along with chemotherapy.
Targeted therapy, which targets specific genetic changes or mutations that turn healthy cells into cancerous cells.
Chemotherapy and allogeneic stem cell transplantation to treat PTCL that doesn’t respond to chemotherapy and radiation therapy or that’s come back after treatment."
"Cutaneous T-Cell Lymphoma","Acquired genetic mutations: Researchers have found some gene changes that cause these conditions. They’re still studying why certain genes change.
Infections: Your immune system goes into overdrive when you have an infection. Your bone marrow reacts by creating more lymphocytes more quickly. Just like any production line, speeding up the process may lead to mistakes. In this case, the mistakes stem from DNA mutations that affect key genes in lymphocytes that eventually cause lymphoma. Researchers are investigating possible links between infections and cutaneous T-cell lymphoma.","Blood tests:Your doctor will check your blood to look at your blood counts, electrolytes, and kidney and liver function. They’ll do special tests to look for signs of lymphoma in your blood and count any lymphoma cells they find.
Biopsies:Healthcare providers do skin biopsies to establish a diagnosis. They may need to do several skin biopsies to accurately diagnose cutaneous T-cell lymphoma. They may also do lymph node biopsies and biopsies of any other parts of your body that may be affected by cutaneous T-cell lymphoma.
Imaging studies:Healthcare providers may use computed tomography (CT) scans and positron emission tomography (PET) scans to examine your lymph nodes and other organs.","Skin-directed treatments:Healthcare providers may use topical ointments, creams, or light treatments for early-stage cutaneous T-cell lymphoma.
Phototherapy: This treatment is used for early-stage disease. In phototherapy, healthcare providers use ultraviolet A(UV-A) or B (UV-B) light to treat early-stage disease. They may combine UV-A with psoralen in what's referred to as PUVA treatment. After taking the medication, healthcare providers expose the affected areas of your skin to UV light. The light activates the medication and kills cancer cells.
Extracorporeal photophoresis (ECP): This treatment involves ultraviolet light and psoralen. Providers take some of your blood so they can obtain white blood cells. They mix those cells with psoralen. This makes cancerous cells vulnerable to ultraviolet (UV) light. These cells are then exposed to UV light, killing the cancer cells. They then return the treated white blood cells to your bloodstream.
Radiation therapy: Providers target cancer cells with X-rays or other radiation sources, slowing cancer cell growth or killing the cells.
Immunotherapy: This treatment boosts your immune system with lab-made substances or your body’s substances. Immunotherapy helps slow cancer cell growth or eliminate cancer cells.
Chemotherapy: You may take chemotherapy as pills, via intravenous injection (IV) or as gels, creams or lotions that are directly applied to your skin’s affected areas."
"Low Testosterone (Male Hypogonadism)","Reduced sex drive.
Erectile dysfunction.
Loss of armpit and pubic hair.
Shrinking testicles.
Hot flashes.
Low or zero sperm count (azoospermia), which causes male infertility.","Total testosterone level blood test: This test usually requires two sample collections between 8 a.m. and 10 a.m., when testosterone levels should be at their highest. If you’re sick or have recently been sick, it’s important to tell your provider. Acute illness may cause a falsely low result.
Luteinizing hormone (LH) blood test: This test can help determine if the cause of low testosterone is an issue with your pituitary gland.
Prolactin blood test: High prolactin levels may be a sign of pituitary gland issues or tumors.","Testosterone skin gels: You apply the gel every day to clean, dry skin as directed. It’s important that you don’t transfer the gel to another person through skin-to-skin contact. Testosterone skin gels are one of the most common forms of treatment in the U.S.
Intramuscular testosterone injections: You or a provider can administer the injections into a muscle every 1 to 2 weeks. Providers can administer long-acting testosterone by injection every 10 weeks. There are also subcutaneous injection options.
Testosterone patches: You apply these patches every day to your skin as directed. You usually have to rotate their location to avoid skin reactions.
Testosterone pellets: A specialist implants these pellets under your skin every three to six months. The pellets provide consistent and long-term testosterone dosages.
Buccal testosterone tablets: These are sticky pills that you apply to your gums twice a day. The testosterone absorbs quickly into your bloodstream through your gums.
Testosterone nasal gel: You apply a testosterone gel by applying it into each nostril three times a day.
Oral testosterone: A pill form of testosterone called undecanoate is available for people with low testosterone due to specific medical conditions, such as Klinefelter syndrome or tumors that have damaged their pituitary gland."
"Short Q-T Syndrome (SQTS)","SQTS is genetic. You may inherit it from one of your parents. Or you may have a gene change (mutation) that happens for no known reason.","Electrocardiogram to measure your QT interval.
Genetic testing for the gene mutations that cause SQTS.","Implantable cardioverter defibrillator (ICD). An ICD delivers an electric shock to your heart when it senses an irregular heartbeat. ICDs are one of the most reliable treatments for adults with SQTS.
Medications. Your provider may recommend anti-arrhythmia drugs, such as quinidine. Alternatively, they may prescribe flecainide (Tambocor™) or ibutilide (Corvert®), propafenone, amiodarone, sotalol or beta-blockers such as metoprolol (Toprol XL®, Lopressor®) or carvedilol (Coreg®)."
"Lung Cancer","A cough that doesn’t go away or gets worse over time.
Trouble breathing or shortness of breath (dyspnea).
Chest pain or discomfort.
Wheezing.
Coughing up blood (hemoptysis).
Hoarseness.
Loss of appetite.
Unexplained weight loss.
Unexplained fatigue (tiredness).
Shoulder pain.
Swelling in the face, neck, arms or upper chest (superior vena cava syndrome).
Small pupil and drooping eyelid in one eye with little or no sweating on that side of your face (Horner’s syndrome).","Needle biopsy. During this procedure, your provider will use a needle to collect samples of fluid or tissue for testing.
Bronchoscopy, thoracoscopy or video-assisted thoracic surgery (VATS). A provider uses these procedures to look at parts of your lungs and take tissue samples.
Thoracentesis. A provider uses this procedure to take a sample of the fluid around your lungs for testing.
Endobronchial ultrasound or endoscopic esophageal ultrasound. A provider uses these procedures to look at and biopsy lymph nodes.
Mediastinoscopy or mediastinotomy. A provider uses these procedures to look at and take samples from the area between your lungs (mediastinum).","Nausea, vomiting.
Diarrhea.
Hair loss.
Fatigue.
Mouth sores.
Loss of feeling, weakness or tingling (neuropathy)."
"Valley Fever (Coccidioidomycosis)","Fatigue.
Fever or night sweats.
Cough or shortness of breath (dyspnea).
Headache.
Muscle aches and joint pain.
Rash (erythema nodosum).","Blood tests: Blood tests are the most common way to diagnose Valley fever. Your provider uses a needle to take blood from your vein, which they then send to a lab to look for certain signs of coccidioides (antibodies or antigens).
Biopsy: Your provider may take a small amount of tissue and send it to a lab to look for signs of coccidioides.
Imaging: Your provider may use a chest X-ray or CT scan to look for Valley fever pneumonia, a potentially serious complication. This will give your provider pictures of your lungs to see if there are any changes that indicate pneumonia.","Fluconazole.
Itraconazole.
Amphotericin B (AmB)."
"Wilms Tumor","A swollen spot or hard lump in your child’s abdomen (stomach area). The lump or swelling can be painful, but it’s usually not.
Pain in their abdomen.
Blood in their urine (hematuria).
Fever.
High blood pressure (hypertension). This in turn may cause your child to have nosebleeds, headaches and blood in their eye.","A physical exam that includes pressing down carefully on your child's abdomen.
Imaging tests like abdominal ultrasound, CT scan – usually with contrast. Your provider might order an X-ray or CT scan of your child's chest to find out if cancer has spread (metastasized) to their lungs. Imaging tests can show if your child has a tumor. Your provider can also use the tests to tell the difference between Wilms tumor and other types of kidney cancer.
Laboratory tests of blood and urine, including liver function and blood clotting tests.
A biopsy, which means that tissue from the tumor is removed and sent to the laboratory for testing.","Wilms tumor is almost always treated with a combination of surgery and chemotherapy. Sometimes, treatment will include radiation therapy."
"Rocky Mountain Spotted Fever","High fever.
Headache.
Lack of appetite.
Muscle pain or soreness.
Rash, usually starting on wrists and ankles and spreading to other parts of your body.
Nausea and vomiting.
Stomach pain.
Sensitivity to light (photophobia).","Blood tests. Your provider will take a sample of your blood to test for the bacteria that causes RMSF. Your blood usually won’t be positive for RMSF for seven to 10 days into your illness. You may have to repeat blood tests later in your illness or after you recover.
Skin tests. Your provider will use a special cutting tool called a punch (it feels like a poke or a pinch) to get a sample of your skin where you have a rash. They’ll test the sample for signs of R. rickettsii.","Treatment of Rocky Mountain spotted fever involves antibiotics. You usually have to take antibiotics for seven to 10 days."
